callsign,flight_number,date,aircraft_type_icao,origin_iata,destination_iata,origin_latitude_deg,origin_longitude_deg,destination_latitude_deg,destination_longitude_deg,origin_country,destination_country,duration_hours,total_distance_km,great_circle_distance_km,great_circle_ratio,LTO_CO2_kg,CCD_CO2_kg,Total_CO2_kg
VLG312J,,,A20N,SVQ,BCN,37.417999,-5.89311,41.2971,2.07846,ES,ES,1.39,949.93,809.3073341596748,0.8519652333958028,685.35,8035.69,8721.04
VLG83RQ,,,A321,BCN,LPA,41.2971,2.07846,27.9319,-15.3866,ES,ES,3.01,2242.13,2174.573030508505,0.9698692896970759,689.1,24090.96,24780.06
VLG8005,VY8005,2021-07-05,A320,ORY,BCN,48.72333,2.37944,41.2971,2.07846,FR,ES,1.23,856.24,826.1261861437757,0.964830171615173,806.3,8625.11,9431.41
VLG40YA,,,A20N,PMI,BCN,39.551701,2.73881,41.2971,2.07846,ES,ES,0.55,246.51,201.97414078485818,0.8193344723737706,685.35,2747.5,3432.86
VLG7FU,,,A320,BCN,NCE,41.2971,2.07846,43.658401,7.21587,ES,FR,1.14,644.08,496.3143585843382,0.7705787457836576,806.3,6748.66,7554.96
VLG979D,,,A320,AGP,TFN,36.6749,-4.49911,28.482752,-16.341707,ES,ES,2.01,1508.2,1433.6109262243474,0.9505443085959073,806.3,14391.37,15197.67
VLG50Z,,,A320,PMI,VLC,39.551701,2.73881,39.4893,-0.481625,ES,ES,0.58,312.85,276.3164930859434,0.8832235674794419,806.3,3819.1,4625.4
VLG747M,,,A320,ALC,LGW,38.2822,-0.558156,51.148744,-0.185739,ES,GB,2.14,1560.76,1430.9648428708695,0.9168384907806898,806.3,14856.24,15662.54
VLG786T,,,A20N,AGP,ORY,36.6749,-4.49911,48.72333,2.37944,ES,FR,1.88,1471.06,1451.434494684693,0.9866589361988587,685.35,11953.45,12638.81
VLG10CX,,,A20N,BCN,LCG,41.2971,2.07846,43.302101,-8.37726,ES,ES,1.46,926.6,887.7084148378394,0.9580276439001073,685.35,7860.3,8545.65
VLG11SY,VY3986,2021-07-05,A320,VLC,MAH,39.4893,-0.481625,39.862598,4.21865,ES,ES,0.71,455.12,404.36681941863014,0.8884839589968143,806.3,5077.41,5883.71
VLG6204,VY6204,2021-07-05,A319,FLR,LGW,43.808558,11.202822,51.148744,-0.185739,IT,GB,1.92,1211.66,1180.4208393195825,0.974217882342887,725.0,10631.09,11356.09
VLG54HD,,,A321,BCN,SCQ,41.2971,2.07846,42.896301,-8.41514,ES,ES,1.67,980.74,883.2840940369294,0.900630232311244,689.1,11218.24,11907.34
VLG7SR,,,A321,BCN,MAH,41.2971,2.07846,39.862598,4.21865,ES,ES,0.45,277.18,241.05794119782644,0.8696801399733979,689.1,4038.27,4727.37
VLG3V,,,A319,BCN,FLR,41.2971,2.07846,43.808558,11.202822,ES,IT,1.15,888.37,797.5793667637148,0.8978008788722208,725.0,8046.69,8771.69
VLG26GU,,,A320,PMI,ALC,39.551701,2.73881,38.2822,-0.558156,ES,ES,0.78,419.33,318.2411043285507,0.7589275852635173,806.3,4760.86,5567.16
VLG8MP,,,A320,FCO,BCN,41.804532,12.251998,41.2971,2.07846,IT,ES,1.46,887.77,847.9983096688334,0.9552004569526267,806.3,8903.98,9710.28
VLG55WJ,VY1870,2021-07-05,A321,BCN,CPH,41.2971,2.07846,55.617900848389,12.656000137329,ES,DK,2.46,1900.2,1768.6367499072278,0.9307634722172549,689.1,20601.5,21290.6
VLG2SH,,,A320,BCN,AMS,41.2971,2.07846,52.308601,4.76389,ES,NL,1.94,1355.67,1241.180855776778,0.9155479252154122,806.3,13042.32,13848.62
VLG1423,VY1423,2021-07-05,A320,BIO,BCN,43.301102,-2.91061,41.2971,2.07846,ES,ES,0.82,520.52,466.82765753085545,0.89684864660504,806.3,5655.84,6462.14
VLG559K,,,A320,BCN,LEI,41.2971,2.07846,36.843899,-2.3701,ES,ES,1.01,651.74,626.4656239201278,0.9612201551540918,806.3,6816.41,7622.71
VLG873K,,,A321,BCN,NTE,41.2971,2.07846,47.153198,-1.61073,ES,FR,1.21,761.76,714.2608931296247,0.937645574891862,689.1,8983.5,9672.6
VLG2UZ,,,A320,ORY,PMI,48.72333,2.37944,39.551701,2.73881,FR,ES,1.43,1040.27,1020.275488157988,0.980779497782295,806.3,10252.76,11059.06
VLG24XH,,,A320,BIO,IBZ,43.301102,-2.91061,38.872898,1.37312,ES,ES,1.07,717.26,609.2074572526597,0.8493537312169362,806.3,7395.9,8202.2
VLG79UT,,,A20N,BCN,AGP,41.2971,2.07846,36.6749,-4.49911,ES,ES,1.13,786.92,765.9939217775354,0.973407616755878,685.35,6810.21,7495.56
VLG74NE,,,A320,BIO,MAH,43.301102,-2.91061,39.862598,4.21865,ES,ES,0.98,743.83,705.1854857633607,0.9480465775289524,806.3,7630.9,8437.2
VLG35LA,,,A320,BCN,NAP,41.2971,2.07846,40.886002,14.2908,ES,IT,1.47,1105.48,1023.6451456339067,0.9259734645890534,806.3,10829.51,11635.81
VLG70PT,,,A321,BCN,PMI,41.2971,2.07846,39.551701,2.73881,ES,ES,0.46,227.33,201.97414078485818,0.8884623269469853,689.1,3529.55,4218.65
VLG50PA,VY3280,2021-07-05,A20N,BIO,ACE,43.301102,-2.91061,28.945499,-13.6052,ES,ES,2.57,1905.24,1859.4320662390228,0.9759568696012171,685.35,15217.54,15902.89
VLG793X,,,A321,BCN,TFN,41.2971,2.07846,28.482752,-16.341707,ES,ES,2.94,2239.41,2194.5818224297977,0.9799821481684006,689.1,24063.2,24752.3
VLG73SL,,,A320,BCN,LIS,41.2971,2.07846,38.7813,-9.13592,ES,PT,1.52,1038.69,994.0360676965066,0.9570093749785851,806.3,10238.79,11045.09
VLG3317,VY3317,2021-07-05,A20N,JTR,FCO,36.400045,25.478638,41.804532,12.251998,GR,IT,2.08,1322.47,1288.0006986651251,0.9739356648280302,685.35,10836.38,11521.73
VLG1V,,,A320,PMI,BCN,39.551701,2.73881,41.2971,2.07846,ES,ES,0.52,241.82,201.97414078485818,0.8352251293725009,806.3,3190.88,3997.18
VLG1570,VY1570,2021-07-05,A321,BCN,OVD,41.2971,2.07846,43.563599,-6.03462,ES,ES,1.18,736.76,711.6074806269959,0.9658606338929854,689.1,8728.37,9417.47
VLG4YF,VY3284,2021-07-05,A20N,BIO,FUE,43.301102,-2.91061,28.4527,-13.8638,ES,ES,2.66,1959.57,1919.6650405972684,0.9796358591922046,685.35,15625.98,16311.34
VLG856Y,,,A320,BCN,MAD,41.2971,2.07846,40.471926,-3.56264,ES,ES,0.9,482.65,467.28307903787174,0.9681613571695261,806.3,5320.9,6127.2
VLG27SY,,,A320,PMI,BCN,39.551701,2.73881,41.2971,2.07846,ES,ES,0.48,254.14,201.97414078485818,0.7947357392966797,806.3,3299.84,4106.14
VLG426G,,,A320,BCN,MAH,41.2971,2.07846,39.862598,4.21865,ES,ES,0.45,258.44,241.05794119782644,0.9327423819758026,806.3,3337.87,4144.17
VLG3R,,,A20N,LPA,BCN,27.9319,-15.3866,41.2971,2.07846,ES,ES,2.83,2259.14,2174.573030508505,0.9625667424367259,685.35,17878.1,18563.45
VLG160L,,,A320,TFN,BCN,28.482752,-16.341707,41.2971,2.07846,ES,ES,2.95,2310.23,2194.5818224297977,0.9499408381112693,806.3,21484.92,22291.22
VLG7MQ,,,A320,BCN,IBZ,41.2971,2.07846,38.872898,1.37312,ES,ES,0.58,294.35,275.2371884794509,0.935067737317652,806.3,3655.48,4461.78
VLG8VK,,,A319,,BCN,,,41.2971,2.07846,,ES,0.76,447.16,371.48579216846116,0.8307670457296296,725.0,4519.63,5244.63
VLG5U,,,A20N,TFN,BIO,28.482752,-16.341707,43.301102,-2.91061,ES,ES,2.68,2118.52,2038.563498627443,0.9622583211994425,685.35,16820.94,17506.29
VLG5BH,,,A320,BCN,MAH,41.2971,2.07846,39.862598,4.21865,ES,ES,0.42,252.71,241.05794119782644,0.9538915800634182,806.3,3287.19,4093.49
VLG8YC,,,A320,VLC,PMI,39.4893,-0.481625,39.551701,2.73881,ES,ES,0.6,350.49,276.3164930859434,0.7883719737679917,806.3,4152.01,4958.31
VLG400E,,,A321,MAH,BCN,39.862598,4.21865,41.2971,2.07846,ES,ES,0.6,279.43,241.05794119782644,0.8626773832366834,689.1,4061.24,4750.34
VLG516A,,,A320,MAH,VLC,39.862598,4.21865,39.4893,-0.481625,ES,ES,0.79,427.28,404.36681941863014,0.9463743199275186,806.3,4831.18,5637.48
VLG7XD,,,A20N,BCN,PMI,41.2971,2.07846,39.551701,2.73881,ES,ES,0.5,217.04,201.97414078485818,0.9305848727647354,685.35,2525.95,3211.31
VLG96WY,VY3964,2021-07-05,A320,SVQ,VLC,37.417999,-5.89311,39.4893,-0.481625,ES,ES,0.86,583.84,524.387310900514,0.8981695514190771,806.3,6215.87,7022.17
VLG183Y,VY3045,2021-07-05,A20N,LPA,SVQ,27.9319,-15.3866,37.417999,-5.89311,ES,ES,1.86,1448.26,1377.5875868198211,0.9512018469196285,685.35,11782.04,12467.4
VLG4J,,,A20N,TFN,OVD,28.482752,-16.341707,43.563599,-6.03462,ES,ES,2.37,1972.94,1918.192413853236,0.9722507597054325,685.35,15726.5,16411.85
VLG4VF,,,A320,ALC,PMI,38.2822,-0.558156,39.551701,2.73881,ES,ES,0.76,416.03,318.2411043285507,0.7649474901534763,806.3,4731.68,5537.98
VLG1E,VY3944,2021-07-05,A320,BIO,PMI,43.301102,-2.91061,39.551701,2.73881,ES,ES,0.92,686.53,628.7777466980907,0.9158780340234086,806.3,7124.11,7930.41
VLG3AG,,,A320,LPA,OVD,27.9319,-15.3866,43.563599,-6.03462,ES,ES,2.45,1999.92,1929.2229343710508,0.9646500531876528,806.3,18740.38,19546.68
VLG8GP,,,A320,SVQ,PMI,37.417999,-5.89311,39.551701,2.73881,ES,ES,1.26,882.13,787.5419591764767,0.8927731277436168,806.3,8854.09,9660.39
VLG737G,,,A320,BIO,AGP,43.301102,-2.91061,36.6749,-4.49911,ES,ES,1.18,786.08,749.1098254526187,0.9529689413960648,806.3,8004.58,8810.88
VLG18KW,,,A321,PMI,BCN,39.551701,2.73881,41.2971,2.07846,ES,ES,0.55,249.65,201.97414078485818,0.8090292040250678,689.1,3757.33,4446.43
VLG39NT,VY2425,2021-07-05,A320,IBZ,SVQ,38.872898,1.37312,37.417999,-5.89311,ES,ES,1.02,674.94,655.5121767983535,0.9712154810773601,806.3,7021.6,7827.9
VLG14TH,VY1424,,A320,,,,,,,,,0.67,506.02,496.8121465660446,0.9818033804316917,806.3,5527.59,6333.89
VLG6EY,,,A20N,BCN,SCQ,41.2971,2.07846,42.896301,-8.41514,ES,ES,1.27,910.41,883.2840940369294,0.9702047363681522,685.35,7738.58,8423.94
VLG96UB,,,A320,NCE,BCN,43.658401,7.21587,41.2971,2.07846,FR,ES,0.87,516.88,496.3143585843382,0.9602119613533862,806.3,5623.64,6429.94
VLG195M,,,A320,MAH,BIO,39.862598,4.21865,43.301102,-2.91061,ES,ES,1.19,767.41,706.0382971825699,0.9200274914095071,806.3,7839.45,8645.75
VLG7QN,,,A320,BCN,BLQ,41.2971,2.07846,44.5354,11.2887,ES,IT,1.21,896.15,831.3501069645738,0.9276907961441431,806.3,8978.09,9784.39
VLG68EL,VY6331,2021-07-05,A321,MXP,BCN,45.6306,8.72811,41.2971,2.07846,IT,ES,1.28,780.43,720.8202148323408,0.9236193058087732,689.1,9174.03,9863.13
VLG64TR,VY8004,2021-07-05,A320,BCN,ORY,41.2971,2.07846,48.72333,2.37944,ES,FR,1.25,904.98,826.1261861437757,0.9128667883751859,806.3,9056.19,9862.49
VLG270A,,,A20N,BCN,LYS,41.2971,2.07846,45.725996,5.090139,ES,FR,1.0,674.44,548.6522729531636,0.8134930801155974,685.35,5964.6,6649.96
VLG8LP,,,A319,,BCN,,,41.2971,2.07846,,ES,1.25,843.79,776.5733798051467,0.9203396340382639,725.0,7690.31,8415.31
VLG2975,VY2975,2021-07-05,A321,NTE,BCN,47.153198,-1.61073,41.2971,2.07846,FR,ES,1.09,750.49,714.2608931296247,0.9517260631449116,689.1,8868.49,9557.59
VLG759Q,VY2212,2021-07-05,A20N,BCN,SVQ,41.2971,2.07846,37.417999,-5.89311,ES,ES,1.26,851.96,809.3073341596748,0.949935835203149,685.35,7299.17,7984.52
VLG6376,VY6376,2021-07-05,A320,MXP,IBZ,45.6306,8.72811,38.872898,1.37312,IT,ES,1.57,1018.9,964.0846516344773,0.9462014443365171,806.3,10063.76,10870.06
VLG60CJ,VY1252,2021-07-05,A320,LEI,BCN,36.843899,-2.3701,41.2971,2.07846,ES,ES,1.12,777.45,626.4656239201278,0.8057953873819895,806.3,7928.25,8734.55
VLG810K,,,A20N,LCG,BCN,43.302101,-8.37726,41.2971,2.07846,ES,ES,1.25,940.67,887.7084148378394,0.9436980182612813,685.35,7966.07,8651.43
VLG3906,VY3906,2021-07-05,A320,BCN,PMI,41.2971,2.07846,39.551701,2.73881,ES,ES,0.54,252.98,201.97414078485818,0.798379875029086,806.3,3289.58,4095.88
VLG1K,,,A319,ORY,FLR,48.72333,2.37944,43.808558,11.202822,FR,IT,1.27,928.49,869.6172993787186,0.9365930698001256,725.0,8367.41,9092.41
VLG8CX,,,A320,BCN,AGP,41.2971,2.07846,36.6749,-4.49911,ES,ES,1.2,804.97,765.9939217775354,0.9515807070791898,806.3,8171.65,8977.95
VLG89WF,,,A20N,ORY,BCN,48.72333,2.37944,41.2971,2.07846,FR,ES,1.25,865.01,826.1261861437757,0.9550481337138018,685.35,7397.28,8082.63
VLG14NW,,,A321,VGO,BCN,42.2318,-8.62677,41.2971,2.07846,ES,ES,1.28,953.9,893.3736816402045,0.9365485707518655,689.1,10944.33,11633.43
VLG7Z,VY2114,2021-07-05,A20N,AGP,BCN,36.6749,-4.49911,41.2971,2.07846,ES,ES,1.2,845.3,765.9939217775354,0.9061799618804395,685.35,7249.1,7934.45
VLG6251,VY6251,2021-07-05,A20N,FCO,ORY,41.804532,12.251998,48.72333,2.37944,IT,FR,1.67,1115.66,1081.1206954861284,0.9690413705664166,685.35,9281.62,9966.97
VLG1BF,,,A320,AGP,BCN,36.6749,-4.49911,41.2971,2.07846,ES,ES,1.15,846.29,765.9939217775354,0.9051199018983274,806.3,8537.11,9343.41
VLG529X,,,A320,PMI,ORY,39.551701,2.73881,48.72333,2.37944,ES,FR,1.66,1192.82,1020.275488157988,0.8553474020874802,806.3,11601.99,12408.29
VLG73TK,,,A20N,ORY,VLC,48.72333,2.37944,39.4893,-0.481625,FR,ES,1.55,1082.75,1051.7121080119514,0.971334202735582,685.35,9034.21,9719.56
VLG33WU,,,A320,ORY,ALC,48.72333,2.37944,38.2822,-0.558156,FR,ES,1.73,1212.7,1184.7269540934649,0.9769332514995175,806.3,11777.82,12584.12
VLG35VX,,,A320,IBZ,BCN,38.872898,1.37312,41.2971,2.07846,ES,ES,0.65,343.0,276.1640126138499,0.8051428939179297,806.3,4085.76,4892.06
VLG6108,VY6108,2021-07-05,A320,BCN,FCO,41.2971,2.07846,41.804532,12.251998,ES,IT,1.32,927.85,847.9983096688334,0.9139390091812614,806.3,9258.47,10064.77
VLG3257,VY3257,2021-07-05,A320,TFN,SVQ,28.482752,-16.341707,37.417999,-5.89311,ES,ES,1.77,1450.69,1390.190930588451,0.9582963490397335,806.3,13882.72,14689.02
VLG1RG,VY6339,,A20N,BCN,ATH,41.2971,2.07846,37.936401,23.9445,ES,GR,2.35,1976.36,1904.5761897970913,0.9636787780551577,685.35,15752.21,16437.56
VLG5XU,,,A320,MAH,BCN,39.862598,4.21865,41.2971,2.07846,ES,ES,0.63,285.26,241.05794119782644,0.8450464179970077,806.3,3575.08,4381.38
VLG3419,VY3419,2021-07-05,A320,MAD,IBZ,40.471926,-3.56264,38.872898,1.37312,ES,ES,0.83,534.81,458.2622084769625,0.8568691843401629,806.3,5782.22,6588.52
VLG14TH,VY1424,,A320,BCN,,41.2971,2.07846,,,ES,,0.26,91.52,84.87469852367877,0.9273896254772593,806.3,1861.55,2667.85
VLG8981,VY8981,2021-07-05,A320,BRU,BCN,50.901402,4.48444,41.2971,2.07846,BE,ES,1.65,1139.44,1083.8219191144028,0.9511882320388987,806.3,11129.87,11936.17
VLG7HD,,,A320,NAP,BCN,40.886002,14.2908,41.2971,2.07846,IT,ES,1.56,1041.02,1023.6451456339067,0.9833097785190551,806.3,10259.4,11065.7
VLG698X,,,A321,OVD,BCN,43.563599,-6.03462,41.2971,2.07846,ES,ES,1.05,756.44,711.6074806269959,0.9407322201721166,689.1,8929.21,9618.31
VLG24ZH,,,A320,BRU,SCQ,50.901402,4.48444,42.896301,-8.41514,BE,ES,2.1,1369.05,1320.581276326302,0.9645968199308295,806.3,13160.66,13966.96
VLG16QB,,,A319,LGW,PSA,51.148744,-0.185739,43.683899,10.3927,GB,IT,1.92,1331.8,1148.031006840211,0.8620145718878293,725.0,11591.49,12316.49
VLG8348,VY8348,2021-07-05,A320,PMI,ZRH,39.551701,2.73881,47.458056,8.548056,ES,CH,1.5,1109.95,995.5422980898128,0.896925355277096,806.3,10869.05,11675.35
VLG3831,VY3831,2021-07-05,A320,MAH,MAD,39.862598,4.21865,40.471926,-3.56264,ES,ES,1.27,762.55,664.4521407410277,0.8713555055288542,806.3,7796.47,8602.77
VLG1ZE,,,A20N,PMI,MUC,39.551701,2.73881,48.353802,11.7861,ES,DE,1.92,1373.27,1231.7782932480982,0.8969673066826612,685.35,11218.28,11903.64
VLG8020,VY8020,2021-07-05,A321,BCN,ORY,41.2971,2.07846,48.72333,2.37944,ES,FR,1.4,965.89,826.1261861437757,0.8553004857113913,689.1,11066.69,11755.79
VLG85GP,VY3279,2021-07-05,A320,TFN,AGP,28.482752,-16.341707,36.6749,-4.49911,ES,ES,1.92,1547.12,1433.6109262243474,0.9266320170538468,806.3,14735.6,15541.9
VLG6RB,,,A320,BCN,IBZ,41.2971,2.07846,38.872898,1.37312,ES,ES,0.56,305.64,276.1640126138499,0.903559784759357,806.3,3755.33,4561.63
VLG8461,VY8461,2021-07-05,A320,LIS,BCN,38.7813,-9.13592,41.2971,2.07846,PT,ES,1.38,1045.09,994.0360676965066,0.9511487696719964,806.3,10295.39,11101.69
VLG673B,,,A20N,ORY,AGP,48.72333,2.37944,36.6749,-4.49911,FR,ES,2.13,1494.07,1451.434494684693,0.9714635155546213,685.35,12126.44,12811.79
VLG6213,VY6213,2021-07-05,A20N,AGP,FCO,36.6749,-4.49911,41.804532,12.251998,ES,IT,2.05,1596.22,1548.0800521710225,0.9698412826371192,685.35,12894.38,13579.74
VLG3GL,VY3014,2021-07-05,A20N,BCN,FUE,41.2971,2.07846,28.4527,-13.8638,ES,ES,2.68,2068.41,2031.9651804545992,0.9823802729896874,685.35,16444.22,17129.58
VLG69AT,VY7381,2021-07-05,A320,LGW,ALC,51.148744,-0.185739,38.2822,-0.558156,GB,ES,2.01,1468.8,1430.9648428708695,0.9742407699284242,806.3,14042.9,14849.2
VLG360R,VY8301,2021-07-05,A320,AMS,BCN,52.308601,4.76389,41.2971,2.07846,NL,ES,1.8,1274.36,1241.180855776778,0.9739640727712562,806.3,12323.17,13129.47
VLG224U,,,A320,PMI,OVD,39.551701,2.73881,43.563599,-6.03462,ES,ES,1.35,910.06,854.8519492652347,0.939335812215936,806.3,9101.12,9907.42
VLG1984,VY1984,2021-07-05,A320,LIS,ORY,38.7813,-9.13592,48.72333,2.37944,PT,FR,2.04,1558.28,1438.1632218986754,0.9229170764552426,806.3,14834.3,15640.6
VLG1592,VY1592,2021-07-05,A320,BCN,SDR,41.2971,2.07846,43.427101,-3.82001,ES,ES,1.07,608.83,539.2536979774372,0.885721298190689,806.3,6436.89,7243.19
VLG2K,,,A320,BCN,HAJ,41.2971,2.07846,52.461102,9.68508,ES,DE,1.95,1523.86,1367.6509712486145,0.8974912204852248,806.3,14529.87,15336.17
VLG154G,,,A320,VLC,BCN,39.4893,-0.481625,41.2971,2.07846,ES,ES,0.61,363.87,295.64266087414893,0.812495289180611,806.3,4270.35,5076.65
VLG47NW,VY2012,2021-07-05,A20N,BCN,GRX,41.2971,2.07846,37.188702,-3.77736,ES,ES,1.11,732.36,680.1614947055176,0.928725619511603,685.35,6400.04,7085.39
VLG678U,,,A320,BCN,MXP,41.2971,2.07846,45.6306,8.72811,ES,IT,1.18,812.26,720.8202148323408,0.8874254731641849,806.3,8236.13,9042.43
VLG6TB,VY2473,2021-07-05,A321,ACE,BCN,28.945499,-13.6052,41.2971,2.07846,ES,ES,2.53,2033.33,1974.1972006027345,0.9709182477033903,689.1,21960.11,22649.21
VLG677J,,,A321,BCN,LGW,41.2971,2.07846,51.148744,-0.185739,ES,GB,1.72,1249.66,1109.093782491985,0.8875164304626737,689.1,13962.61,14651.71
VLG17XM,VY3102,2021-07-05,A320,VLC,TFN,39.4893,-0.481625,28.482752,-16.341707,ES,ES,2.59,1946.71,1901.717073556587,0.9768877098060763,806.3,18269.77,19076.07
VLG5PM,,,A320,PMI,BIO,39.551701,2.73881,43.301102,-2.91061,ES,ES,1.0,654.45,628.7777466980907,0.9607727812637951,806.3,6840.38,7646.68
VLG83YK,,,A320,AMS,AGP,52.308601,4.76389,36.6749,-4.49911,NL,ES,2.78,2016.11,1883.725013846451,0.9343364270037107,806.3,18883.58,19689.88
VLG73YR,,,A321,BCN,BSL,41.2971,2.07846,47.60068,7.521117,ES,FR,1.35,952.54,822.2664246247631,0.8632355855132205,689.1,10930.45,11619.55
VLG51HM,VY1871,2021-07-05,A321,CPH,BCN,55.617900848389,12.656000137329,41.2971,2.07846,DK,ES,2.49,1814.62,1768.6367499072278,0.9746595705476783,689.1,19728.14,20417.24
VLG449H,VY3931,2021-07-05,A320,PMI,GRX,39.551701,2.73881,37.188702,-3.77736,ES,ES,1.08,709.29,625.7047935951982,0.8821565136900256,806.3,7325.41,8131.71
VLG59TN,,,A321,LPA,BCN,27.9319,-15.3866,41.2971,2.07846,ES,ES,2.73,2250.16,2174.573030508505,0.9664081800887515,689.1,24172.9,24862.0
VLG2424,VY2424,2021-07-05,A320,SVQ,IBZ,37.417999,-5.89311,38.872898,1.37312,ES,ES,1.03,742.99,655.5121767983535,0.8822624487521413,806.3,7623.47,8429.77
VLG237T,,,A320,PMI,SDR,39.551701,2.73881,43.427101,-3.82001,ES,ES,1.24,776.77,695.4565828751563,0.8953185407201054,806.3,7922.24,8728.54
VLG84EE,,,A20N,ACE,BIO,28.945499,-13.6052,43.301102,-2.91061,ES,ES,2.33,1906.29,1858.701533236017,0.9750360822519223,685.35,15225.43,15910.79
